수광점ID,학교,종류,교사동/운동장,수광면,층,번호,수광점정의,X,Y,Z,S1_총일조h,S1_연속h,S1_기준A,S2_총일조h,S2_연속h,S2_기준A,Δ총일조h,Δ연속h,변화
여의도여자고등학교 운동장-119,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,119,옥외지반 근사,194271.78,547098.13,0.0,0.83,0.83,불충족,0.83,0.83,불충족,0.0,0.0,유지 불충족
여의도여자고등학교 운동장-120,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,120,옥외지반 근사,194279.78,547098.13,0.0,1.5,1.5,불충족,1.33,1.33,불충족,-0.17,-0.17,유지 불충족
여의도여자고등학교 운동장-121,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,121,옥외지반 근사,194287.78,547098.13,0.0,0.33,0.33,불충족,0.0,0.0,불충족,-0.33,-0.33,유지 불충족
여의도여자고등학교 운동장-122,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,122,옥외지반 근사,194255.78,547106.13,0.0,1.17,0.67,불충족,1.17,0.67,불충족,0.0,0.0,유지 불충족
여의도여자고등학교 운동장-123,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,123,옥외지반 근사,194263.78,547106.13,0.0,1.0,0.5,불충족,1.0,0.5,불충족,0.0,0.0,유지 불충족
여의도여자고등학교 운동장-124,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,124,옥외지반 근사,194271.78,547106.13,0.0,1.67,1.17,불충족,1.67,1.17,불충족,0.0,0.0,유지 불충족
여의도여자고등학교 운동장-125,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,125,옥외지반 근사,194279.78,547106.13,0.0,1.33,1.33,불충족,0.5,0.5,불충족,-0.83,-0.83,유지 불충족
여의도여자고등학교 운동장-126,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,126,옥외지반 근사,194287.78,547106.13,0.0,0.5,0.5,불충족,0.5,0.5,불충족,0.0,0.0,유지 불충족
여의도여자고등학교 운동장-127,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,127,옥외지반 근사,194255.78,547114.13,0.0,2.0,0.67,불충족,2.0,0.67,불충족,0.0,0.0,유지 불충족
여의도여자고등학교 운동장-128,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,128,옥외지반 근사,194263.78,547114.13,0.0,1.83,0.83,불충족,1.83,0.83,불충족,0.0,0.0,유지 불충족
여의도여자고등학교 운동장-129,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,129,옥외지반 근사,194271.78,547114.13,0.0,1.5,1.0,불충족,1.33,0.83,불충족,-0.17,-0.17,유지 불충족
여의도여자고등학교 운동장-130,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,130,옥외지반 근사,194279.78,547114.13,0.0,1.33,1.0,불충족,0.5,0.33,불충족,-0.83,-0.67,유지 불충족
여의도여자고등학교 운동장-131,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,131,옥외지반 근사,194287.78,547114.13,0.0,0.5,0.5,불충족,0.5,0.5,불충족,0.0,0.0,유지 불충족
여의도여자고등학교 운동장-132,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,132,옥외지반 근사,194255.78,547122.13,0.0,2.67,1.33,불충족,2.67,1.33,불충족,0.0,0.0,유지 불충족
여의도여자고등학교 운동장-133,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,133,옥외지반 근사,194263.78,547122.13,0.0,2.33,1.0,불충족,2.33,1.0,불충족,0.0,0.0,유지 불충족
여의도여자고등학교 운동장-134,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,134,옥외지반 근사,194271.78,547122.13,0.0,2.33,1.17,불충족,1.67,0.67,불충족,-0.66,-0.5,유지 불충족
여의도여자고등학교 운동장-135,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,135,옥외지반 근사,194279.78,547122.13,0.0,1.67,1.17,불충족,1.0,0.5,불충족,-0.67,-0.67,유지 불충족
여의도여자고등학교 운동장-136,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,136,옥외지반 근사,194263.78,547130.13,0.0,2.83,1.33,불충족,2.33,0.83,불충족,-0.5,-0.5,유지 불충족
여의도여자고등학교 운동장-137,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,137,옥외지반 근사,194271.78,547130.13,0.0,3.0,1.83,불충족,2.33,0.67,불충족,-0.67,-1.16,유지 불충족
여의도여자고등학교 운동장-138,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,138,옥외지반 근사,194279.78,547130.13,0.0,3.0,1.83,불충족,2.33,1.0,불충족,-0.67,-0.83,유지 불충족
여의도여자고등학교 운동장-139,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,139,옥외지반 근사,194263.78,547138.13,0.0,3.67,3.17,충족,3.0,1.33,불충족,-0.67,-1.84,신규 불충족
여의도여자고등학교 운동장-140,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,140,옥외지반 근사,194271.78,547138.13,0.0,4.5,3.33,충족,3.83,1.33,불충족,-0.67,-2.0,신규 불충족
여의도여자고등학교 운동장-141,여의도여자고등학교,운동장 지반,여의도여자고등학교 운동장,지반,0,141,옥외지반 근사,194263.78,547146.13,0.0,4.83,4.33,충족,4.17,2.17,충족,-0.66,-2.16,유지 충족
본관(4층) 1층-1,여의도초등학교,교사동 창면,본관(4층),본관(4층),1,1,도면기준,194385.36,546987.46,2.1,7.33,7.33,충족,7.33,7.33,충족,0.0,0.0,유지 충족
본관(4층) 2층-1,여의도초등학교,교사동 창면,본관(4층),본관(4층),2,1,도면기준,194385.36,546987.46,5.7,7.33,7.33,충족,7.33,7.33,충족,0.0,0.0,유지 충족
본관(4층) 3층-1,여의도초등학교,교사동 창면,본관(4층),본관(4층),3,1,도면기준,194385.36,546987.46,9.3,7.33,7.33,충족,7.33,7.33,충족,0.0,0.0,유지 충족
본관(4층) 4층-1,여의도초등학교,교사동 창면,본관(4층),본관(4층),4,1,도면기준,194385.36,546987.46,12.9,7.5,7.5,충족,7.5,7.5,충족,0.0,0.0,유지 충족
본관(4층) 1층-2,여의도초등학교,교사동 창면,본관(4층),본관(4층),1,2,도면기준,194388.19,546989.68,2.1,7.33,7.33,충족,7.33,7.33,충족,0.0,0.0,유지 충족
본관(4층) 2층-2,여의도초등학교,교사동 창면,본관(4층),본관(4층),2,2,도면기준,194388.19,546989.68,5.7,7.33,7.33,충족,7.33,7.33,충족,0.0,0.0,유지 충족
본관(4층) 3층-2,여의도초등학교,교사동 창면,본관(4층),본관(4층),3,2,도면기준,194388.19,546989.68,9.3,7.33,7.33,충족,7.33,7.33,충족,0.0,0.0,유지 충족
본관(4층) 4층-2,여의도초등학교,교사동 창면,본관(4층),본관(4층),4,2,도면기준,194388.19,546989.68,12.9,7.33,7.33,충족,7.33,7.33,충족,0.0,0.0,유지 충족
본관(4층) 1층-3,여의도초등학교,교사동 창면,본관(4층),본관(4층),1,3,도면기준,194392.45,546993.0,2.1,7.17,7.17,충족,7.17,7.17,충족,0.0,0.0,유지 충족
본관(4층) 2층-3,여의도초등학교,교사동 창면,본관(4층),본관(4층),2,3,도면기준,194392.45,546993.0,5.7,7.17,7.17,충족,7.17,7.17,충족,0.0,0.0,유지 충족
본관(4층) 3층-3,여의도초등학교,교사동 창면,본관(4층),본관(4층),3,3,도면기준,194392.45,546993.0,9.3,7.17,7.17,충족,7.17,7.17,충족,0.0,0.0,유지 충족
본관(4층) 4층-3,여의도초등학교,교사동 창면,본관(4층),본관(4층),4,3,도면기준,194392.45,546993.0,12.9,7.33,7.33,충족,7.33,7.33,충족,0.0,0.0,유지 충족
본관(4층) 1층-4,여의도초등학교,교사동 창면,본관(4층),본관(4층),1,4,도면기준,194395.29,546995.22,2.1,7.0,7.0,충족,7.0,7.0,충족,0.0,0.0,유지 충족
본관(4층) 2층-4,여의도초등학교,교사동 창면,본관(4층),본관(4층),2,4,도면기준,194395.29,546995.22,5.7,7.0,7.0,충족,7.0,7.0,충족,0.0,0.0,유지 충족
본관(4층) 3층-4,여의도초등학교,교사동 창면,본관(4층),본관(4층),3,4,도면기준,194395.29,546995.22,9.3,7.17,7.17,충족,7.17,7.17,충족,0.0,0.0,유지 충족
본관(4층) 4층-4,여의도초등학교,교사동 창면,본관(4층),본관(4층),4,4,도면기준,194395.29,546995.22,12.9,7.17,7.17,충족,7.17,7.17,충족,0.0,0.0,유지 충족
본관(4층) 1층-5,여의도초등학교,교사동 창면,본관(4층),본관(4층),1,5,도면기준,194399.54,546998.54,2.1,6.83,6.83,충족,6.83,6.83,충족,0.0,0.0,유지 충족
본관(4층) 2층-5,여의도초등학교,교사동 창면,본관(4층),본관(4층),2,5,도면기준,194399.54,546998.54,5.7,7.0,7.0,충족,7.0,7.0,충족,0.0,0.0,유지 충족
본관(4층) 3층-5,여의도초등학교,교사동 창면,본관(4층),본관(4층),3,5,도면기준,194399.54,546998.54,9.3,7.0,7.0,충족,7.0,7.0,충족,0.0,0.0,유지 충족
본관(4층) 4층-5,여의도초등학교,교사동 창면,본관(4층),본관(4층),4,5,도면기준,194399.54,546998.54,12.9,7.17,7.17,충족,7.17,7.17,충족,0.0,0.0,유지 충족
본관(4층) 1층-6,여의도초등학교,교사동 창면,본관(4층),본관(4층),1,6,도면기준,194402.38,547000.76,2.1,6.83,6.83,충족,6.83,6.83,충족,0.0,0.0,유지 충족
본관(4층) 2층-6,여의도초등학교,교사동 창면,본관(4층),본관(4층),2,6,도면기준,194402.38,547000.76,5.7,6.83,6.83,충족,6.83,6.83,충족,0.0,0.0,유지 충족
본관(4층) 3층-6,여의도초등학교,교사동 창면,본관(4층),본관(4층),3,6,도면기준,194402.38,547000.76,9.3,6.83,6.83,충족,6.83,6.83,충족,0.0,0.0,유지 충족
본관(4층) 4층-6,여의도초등학교,교사동 창면,본관(4층),본관(4층),4,6,도면기준,194402.38,547000.76,12.9,7.0,7.0,충족,7.0,7.0,충족,0.0,0.0,유지 충족
본관(4층) 1층-7,여의도초등학교,교사동 창면,본관(4층),본관(4층),1,7,도면기준,194406.63,547004.09,2.1,6.67,6.67,충족,6.67,6.67,충족,0.0,0.0,유지 충족
본관(4층) 2층-7,여의도초등학교,교사동 창면,본관(4층),본관(4층),2,7,도면기준,194406.63,547004.09,5.7,6.67,6.67,충족,6.67,6.67,충족,0.0,0.0,유지 충족
본관(4층) 3층-7,여의도초등학교,교사동 창면,본관(4층),본관(4층),3,7,도면기준,194406.63,547004.09,9.3,6.83,6.83,충족,6.83,6.83,충족,0.0,0.0,유지 충족
본관(4층) 4층-7,여의도초등학교,교사동 창면,본관(4층),본관(4층),4,7,도면기준,194406.63,547004.09,12.9,6.83,6.83,충족,6.83,6.83,충족,0.0,0.0,유지 충족
본관(4층) 1층-8,여의도초등학교,교사동 창면,본관(4층),본관(4층),1,8,도면기준,194409.47,547006.3,2.1,6.5,6.5,충족,6.5,6.5,충족,0.0,0.0,유지 충족
본관(4층) 2층-8,여의도초등학교,교사동 창면,본관(4층),본관(4층),2,8,도면기준,194409.47,547006.3,5.7,6.5,6.5,충족,6.5,6.5,충족,0.0,0.0,유지 충족
본관(4층) 3층-8,여의도초등학교,교사동 창면,본관(4층),본관(4층),3,8,도면기준,194409.47,547006.3,9.3,6.67,6.67,충족,6.67,6.67,충족,0.0,0.0,유지 충족
본관(4층) 4층-8,여의도초등학교,교사동 창면,본관(4층),본관(4층),4,8,도면기준,194409.47,547006.3,12.9,6.67,6.67,충족,6.67,6.67,충족,0.0,0.0,유지 충족
본관(4층) 1층-9,여의도초등학교,교사동 창면,본관(4층),본관(4층),1,9,도면기준,194413.73,547009.63,2.1,6.5,6.33,충족,6.5,6.33,충족,0.0,0.0,유지 충족
본관(4층) 2층-9,여의도초등학교,교사동 창면,본관(4층),본관(4층),2,9,도면기준,194413.73,547009.63,5.7,6.5,6.33,충족,6.5,6.33,충족,0.0,0.0,유지 충족
본관(4층) 3층-9,여의도초등학교,교사동 창면,본관(4층),본관(4층),3,9,도면기준,194413.73,547009.63,9.3,6.5,6.33,충족,6.5,6.33,충족,0.0,0.0,유지 충족
본관(4층) 4층-9,여의도초등학교,교사동 창면,본관(4층),본관(4층),4,9,도면기준,194413.73,547009.63,12.9,6.5,6.33,충족,6.5,6.33,충족,0.0,0.0,유지 충족
본관(4층) 1층-10,여의도초등학교,교사동 창면,본관(4층),본관(4층),1,10,도면기준,194416.56,547011.84,2.1,6.5,6.17,충족,6.5,6.17,충족,0.0,0.0,유지 충족
본관(4층) 2층-10,여의도초등학교,교사동 창면,본관(4층),본관(4층),2,10,도면기준,194416.56,547011.84,5.7,6.5,6.17,충족,6.5,6.17,충족,0.0,0.0,유지 충족
본관(4층) 3층-10,여의도초등학교,교사동 창면,본관(4층),본관(4층),3,10,도면기준,194416.56,547011.84,9.3,6.5,6.17,충족,6.5,6.17,충족,0.0,0.0,유지 충족
본관(4층) 4층-10,여의도초등학교,교사동 창면,본관(4층),본관(4층),4,10,도면기준,194416.56,547011.84,12.9,6.5,6.17,충족,6.5,6.17,충족,0.0,0.0,유지 충족
본관(4층) 1층-11,여의도초등학교,교사동 창면,본관(4층),본관(4층),1,11,도면기준,194420.82,547015.17,2.1,6.17,5.67,충족,6.17,5.67,충족,0.0,0.0,유지 충족
본관(4층) 2층-11,여의도초등학교,교사동 창면,본관(4층),본관(4층),2,11,도면기준,194420.82,547015.17,5.7,6.17,5.67,충족,6.17,5.67,충족,0.0,0.0,유지 충족
본관(4층) 3층-11,여의도초등학교,교사동 창면,본관(4층),본관(4층),3,11,도면기준,194420.82,547015.17,9.3,6.17,5.67,충족,6.17,5.67,충족,0.0,0.0,유지 충족
본관(4층) 4층-11,여의도초등학교,교사동 창면,본관(4층),본관(4층),4,11,도면기준,194420.82,547015.17,12.9,6.17,5.67,충족,6.17,5.67,충족,0.0,0.0,유지 충족
본관(4층) 1층-12,여의도초등학교,교사동 창면,본관(4층),본관(4층),1,12,도면기준,194423.65,547017.38,2.1,6.17,5.33,충족,6.17,5.33,충족,0.0,0.0,유지 충족
본관(4층) 2층-12,여의도초등학교,교사동 창면,본관(4층),본관(4층),2,12,도면기준,194423.65,547017.38,5.7,6.17,5.33,충족,6.17,5.33,충족,0.0,0.0,유지 충족
본관(4층) 3층-12,여의도초등학교,교사동 창면,본관(4층),본관(4층),3,12,도면기준,194423.65,547017.38,9.3,6.17,5.33,충족,6.17,5.33,충족,0.0,0.0,유지 충족
본관(4층) 4층-12,여의도초등학교,교사동 창면,본관(4층),본관(4층),4,12,도면기준,194423.65,547017.38,12.9,6.17,5.33,충족,6.17,5.33,충족,0.0,0.0,유지 충족
본관(4층) 1층-13,여의도초등학교,교사동 창면,본관(4층),본관(4층),1,13,도면기준,194427.91,547020.71,2.1,5.83,4.83,충족,5.83,4.83,충족,0.0,0.0,유지 충족
본관(4층) 2층-13,여의도초등학교,교사동 창면,본관(4층),본관(4층),2,13,도면기준,194427.91,547020.71,5.7,5.83,4.83,충족,5.83,4.83,충족,0.0,0.0,유지 충족
본관(4층) 3층-13,여의도초등학교,교사동 창면,본관(4층),본관(4층),3,13,도면기준,194427.91,547020.71,9.3,5.83,4.83,충족,5.83,4.83,충족,0.0,0.0,유지 충족
본관(4층) 4층-13,여의도초등학교,교사동 창면,본관(4층),본관(4층),4,13,도면기준,194427.91,547020.71,12.9,6.67,5.0,충족,6.67,5.0,충족,0.0,0.0,유지 충족
본관(4층) 1층-14,여의도초등학교,교사동 창면,본관(4층),본관(4층),1,14,도면기준,194430.75,547022.92,2.1,5.83,4.67,충족,5.83,4.67,충족,0.0,0.0,유지 충족
본관(4층) 2층-14,여의도초등학교,교사동 창면,본관(4층),본관(4층),2,14,도면기준,194430.75,547022.92,5.7,5.83,4.67,충족,5.83,4.67,충족,0.0,0.0,유지 충족
본관(4층) 3층-14,여의도초등학교,교사동 창면,본관(4층),본관(4층),3,14,도면기준,194430.75,547022.92,9.3,6.17,4.67,충족,6.17,4.67,충족,0.0,0.0,유지 충족
본관(4층) 4층-14,여의도초등학교,교사동 창면,본관(4층),본관(4층),4,14,도면기준,194430.75,547022.92,12.9,6.83,5.0,충족,6.83,5.0,충족,0.0,0.0,유지 충족
본관(4층) 1층-15,여의도초등학교,교사동 창면,본관(4층),본관(4층),1,15,도면기준,194435.0,547026.25,2.1,5.5,4.17,충족,5.5,4.17,충족,0.0,0.0,유지 충족
본관(4층) 2층-15,여의도초등학교,교사동 창면,본관(4층),본관(4층),2,15,도면기준,194435.0,547026.25,5.7,5.83,4.17,충족,5.83,4.17,충족,0.0,0.0,유지 충족
본관(4층) 3층-15,여의도초등학교,교사동 창면,본관(4층),본관(4층),3,15,도면기준,194435.0,547026.25,9.3,6.5,4.5,충족,6.5,4.5,충족,0.0,0.0,유지 충족
본관(4층) 4층-15,여의도초등학교,교사동 창면,본관(4층),본관(4층),4,15,도면기준,194435.0,547026.25,12.9,7.33,7.33,충족,7.33,7.33,충족,0.0,0.0,유지 충족
본관(4층) 1층-16,여의도초등학교,교사동 창면,본관(4층),본관(4층),1,16,도면기준,194437.84,547028.47,2.1,5.5,4.0,충족,5.5,4.0,충족,0.0,0.0,유지 충족
본관(4층) 2층-16,여의도초등학교,교사동 창면,본관(4층),본관(4층),2,16,도면기준,194437.84,547028.47,5.7,6.0,4.0,충족,6.0,4.0,충족,0.0,0.0,유지 충족
본관(4층) 3층-16,여의도초등학교,교사동 창면,본관(4층),본관(4층),3,16,도면기준,194437.84,547028.47,9.3,6.83,4.5,충족,6.83,4.5,충족,0.0,0.0,유지 충족
본관(4층) 4층-16,여의도초등학교,교사동 창면,본관(4층),본관(4층),4,16,도면기준,194437.84,547028.47,12.9,7.17,7.17,충족,7.17,7.17,충족,0.0,0.0,유지 충족
별관(5층) 1층-1,여의도초등학교,교사동 창면,별관(5층),별관(5층),1,1,도면기준,194387.9,547104.04,1.95,5.17,5.0,충족,3.83,3.67,충족,-1.34,-1.33,유지 충족
별관(5층) 2층-1,여의도초등학교,교사동 창면,별관(5층),별관(5층),2,1,도면기준,194387.9,547104.04,5.15,5.33,5.0,충족,4.0,3.67,충족,-1.33,-1.33,유지 충족
별관(5층) 3층-1,여의도초등학교,교사동 창면,별관(5층),별관(5층),3,1,도면기준,194387.9,547104.04,8.35,5.33,5.0,충족,4.0,3.67,충족,-1.33,-1.33,유지 충족
별관(5층) 4층-1,여의도초등학교,교사동 창면,별관(5층),별관(5층),4,1,도면기준,194387.9,547104.04,11.55,5.33,5.0,충족,4.0,3.67,충족,-1.33,-1.33,유지 충족
별관(5층) 5층-1,여의도초등학교,교사동 창면,별관(5층),별관(5층),5,1,도면기준,194387.9,547104.04,14.75,5.33,5.0,충족,4.0,3.67,충족,-1.33,-1.33,유지 충족
별관(5층) 1층-2,여의도초등학교,교사동 창면,별관(5층),별관(5층),1,2,도면기준,194390.12,547101.21,1.95,5.17,5.0,충족,4.0,3.83,충족,-1.17,-1.17,유지 충족
별관(5층) 2층-2,여의도초등학교,교사동 창면,별관(5층),별관(5층),2,2,도면기준,194390.12,547101.21,5.15,5.33,5.0,충족,4.17,3.83,충족,-1.16,-1.17,유지 충족
별관(5층) 3층-2,여의도초등학교,교사동 창면,별관(5층),별관(5층),3,2,도면기준,194390.12,547101.21,8.35,5.33,5.0,충족,4.17,3.83,충족,-1.16,-1.17,유지 충족
별관(5층) 4층-2,여의도초등학교,교사동 창면,별관(5층),별관(5층),4,2,도면기준,194390.12,547101.21,11.55,5.33,5.0,충족,4.17,3.83,충족,-1.16,-1.17,유지 충족
별관(5층) 5층-2,여의도초등학교,교사동 창면,별관(5층),별관(5층),5,2,도면기준,194390.12,547101.21,14.75,5.33,5.0,충족,4.17,3.83,충족,-1.16,-1.17,유지 충족
별관(5층) 1층-3,여의도초등학교,교사동 창면,별관(5층),별관(5층),1,3,도면기준,194393.45,547096.96,1.95,5.33,5.17,충족,4.0,3.83,충족,-1.33,-1.34,유지 충족
별관(5층) 2층-3,여의도초등학교,교사동 창면,별관(5층),별관(5층),2,3,도면기준,194393.45,547096.96,5.15,5.33,5.17,충족,4.0,3.83,충족,-1.33,-1.34,유지 충족
별관(5층) 3층-3,여의도초등학교,교사동 창면,별관(5층),별관(5층),3,3,도면기준,194393.45,547096.96,8.35,5.33,5.17,충족,4.0,3.83,충족,-1.33,-1.34,유지 충족
별관(5층) 4층-3,여의도초등학교,교사동 창면,별관(5층),별관(5층),4,3,도면기준,194393.45,547096.96,11.55,5.33,5.17,충족,4.0,3.83,충족,-1.33,-1.34,유지 충족
별관(5층) 5층-3,여의도초등학교,교사동 창면,별관(5층),별관(5층),5,3,도면기준,194393.45,547096.96,14.75,5.33,5.17,충족,4.0,3.83,충족,-1.33,-1.34,유지 충족
별관(5층) 1층-4,여의도초등학교,교사동 창면,별관(5층),별관(5층),1,4,도면기준,194395.67,547094.13,1.95,5.33,5.17,충족,4.17,4.0,충족,-1.16,-1.17,유지 충족
별관(5층) 2층-4,여의도초등학교,교사동 창면,별관(5층),별관(5층),2,4,도면기준,194395.67,547094.13,5.15,5.33,5.17,충족,4.17,4.0,충족,-1.16,-1.17,유지 충족
별관(5층) 3층-4,여의도초등학교,교사동 창면,별관(5층),별관(5층),3,4,도면기준,194395.67,547094.13,8.35,5.33,5.17,충족,4.17,4.0,충족,-1.16,-1.17,유지 충족
별관(5층) 4층-4,여의도초등학교,교사동 창면,별관(5층),별관(5층),4,4,도면기준,194395.67,547094.13,11.55,5.33,5.17,충족,4.17,4.0,충족,-1.16,-1.17,유지 충족
별관(5층) 5층-4,여의도초등학교,교사동 창면,별관(5층),별관(5층),5,4,도면기준,194395.67,547094.13,14.75,5.33,5.17,충족,4.17,4.0,충족,-1.16,-1.17,유지 충족
별관(5층) 1층-5,여의도초등학교,교사동 창면,별관(5층),별관(5층),1,5,도면기준,194399.01,547089.88,1.95,5.17,5.17,충족,3.83,3.83,충족,-1.34,-1.34,유지 충족
별관(5층) 2층-5,여의도초등학교,교사동 창면,별관(5층),별관(5층),2,5,도면기준,194399.01,547089.88,5.15,5.33,5.33,충족,4.0,4.0,충족,-1.33,-1.33,유지 충족
별관(5층) 3층-5,여의도초등학교,교사동 창면,별관(5층),별관(5층),3,5,도면기준,194399.01,547089.88,8.35,5.33,5.33,충족,4.0,4.0,충족,-1.33,-1.33,유지 충족
별관(5층) 4층-5,여의도초등학교,교사동 창면,별관(5층),별관(5층),4,5,도면기준,194399.01,547089.88,11.55,5.33,5.33,충족,4.0,4.0,충족,-1.33,-1.33,유지 충족
별관(5층) 5층-5,여의도초등학교,교사동 창면,별관(5층),별관(5층),5,5,도면기준,194399.01,547089.88,14.75,5.33,5.33,충족,4.0,4.0,충족,-1.33,-1.33,유지 충족
별관(5층) 1층-6,여의도초등학교,교사동 창면,별관(5층),별관(5층),1,6,도면기준,194401.23,547087.05,1.95,5.0,5.0,충족,3.83,3.83,충족,-1.17,-1.17,유지 충족
별관(5층) 2층-6,여의도초등학교,교사동 창면,별관(5층),별관(5층),2,6,도면기준,194401.23,547087.05,5.15,5.33,5.33,충족,4.17,4.17,충족,-1.16,-1.16,유지 충족
별관(5층) 3층-6,여의도초등학교,교사동 창면,별관(5층),별관(5층),3,6,도면기준,194401.23,547087.05,8.35,5.33,5.33,충족,4.17,4.17,충족,-1.16,-1.16,유지 충족
별관(5층) 4층-6,여의도초등학교,교사동 창면,별관(5층),별관(5층),4,6,도면기준,194401.23,547087.05,11.55,5.33,5.33,충족,4.17,4.17,충족,-1.16,-1.16,유지 충족
별관(5층) 5층-6,여의도초등학교,교사동 창면,별관(5층),별관(5층),5,6,도면기준,194401.23,547087.05,14.75,5.33,5.33,충족,4.17,4.17,충족,-1.16,-1.16,유지 충족
별관(5층) 1층-7,여의도초등학교,교사동 창면,별관(5층),별관(5층),1,7,도면기준,194406.78,547079.97,1.95,5.0,5.0,충족,3.83,3.83,충족,-1.17,-1.17,유지 충족
별관(5층) 2층-7,여의도초등학교,교사동 창면,별관(5층),별관(5층),2,7,도면기준,194406.78,547079.97,5.15,5.0,5.0,충족,3.83,3.83,충족,-1.17,-1.17,유지 충족
별관(5층) 3층-7,여의도초등학교,교사동 창면,별관(5층),별관(5층),3,7,도면기준,194406.78,547079.97,8.35,5.5,5.5,충족,4.33,4.33,충족,-1.17,-1.17,유지 충족
별관(5층) 4층-7,여의도초등학교,교사동 창면,별관(5층),별관(5층),4,7,도면기준,194406.78,547079.97,11.55,5.5,5.5,충족,4.33,4.33,충족,-1.17,-1.17,유지 충족
별관(5층) 5층-7,여의도초등학교,교사동 창면,별관(5층),별관(5층),5,7,도면기준,194406.78,547079.97,14.75,5.5,5.5,충족,4.33,4.33,충족,-1.17,-1.17,유지 충족
별관(5층) 1층-8,여의도초등학교,교사동 창면,별관(5층),별관(5층),1,8,도면기준,194410.12,547075.72,1.95,5.0,5.0,충족,4.0,4.0,충족,-1.0,-1.0,유지 충족
별관(5층) 2층-8,여의도초등학교,교사동 창면,별관(5층),별관(5층),2,8,도면기준,194410.12,547075.72,5.15,5.17,5.17,충족,4.0,4.0,충족,-1.17,-1.17,유지 충족
별관(5층) 3층-8,여의도초등학교,교사동 창면,별관(5층),별관(5층),3,8,도면기준,194410.12,547075.72,8.35,5.5,5.5,충족,4.33,4.33,충족,-1.17,-1.17,유지 충족
별관(5층) 4층-8,여의도초등학교,교사동 창면,별관(5층),별관(5층),4,8,도면기준,194410.12,547075.72,11.55,5.67,5.67,충족,4.5,4.5,충족,-1.17,-1.17,유지 충족
별관(5층) 5층-8,여의도초등학교,교사동 창면,별관(5층),별관(5층),5,8,도면기준,194410.12,547075.72,14.75,5.67,5.67,충족,4.5,4.5,충족,-1.17,-1.17,유지 충족
별관(5층) 1층-9,여의도초등학교,교사동 창면,별관(5층),별관(5층),1,9,도면기준,194412.34,547072.89,1.95,4.83,4.83,충족,4.0,4.0,충족,-0.83,-0.83,유지 충족
별관(5층) 2층-9,여의도초등학교,교사동 창면,별관(5층),별관(5층),2,9,도면기준,194412.34,547072.89,5.15,5.0,5.0,충족,4.0,4.0,충족,-1.0,-1.0,유지 충족
별관(5층) 3층-9,여의도초등학교,교사동 창면,별관(5층),별관(5층),3,9,도면기준,194412.34,547072.89,8.35,5.0,5.0,충족,4.0,4.0,충족,-1.0,-1.0,유지 충족
별관(5층) 4층-9,여의도초등학교,교사동 창면,별관(5층),별관(5층),4,9,도면기준,194412.34,547072.89,11.55,5.67,5.67,충족,4.67,4.67,충족,-1.0,-1.0,유지 충족
별관(5층) 5층-9,여의도초등학교,교사동 창면,별관(5층),별관(5층),5,9,도면기준,194412.34,547072.89,14.75,5.67,5.67,충족,4.67,4.67,충족,-1.0,-1.0,유지 충족
별관(5층) 1층-10,여의도초등학교,교사동 창면,별관(5층),별관(5층),1,10,도면기준,194415.67,547068.64,1.95,4.33,4.33,충족,3.67,3.67,충족,-0.66,-0.66,유지 충족
별관(5층) 2층-10,여의도초등학교,교사동 창면,별관(5층),별관(5층),2,10,도면기준,194415.67,547068.64,5.15,4.67,4.67,충족,3.67,3.67,충족,-1.0,-1.0,유지 충족
별관(5층) 3층-10,여의도초등학교,교사동 창면,별관(5층),별관(5층),3,10,도면기준,194415.67,547068.64,8.35,4.67,4.67,충족,3.67,3.67,충족,-1.0,-1.0,유지 충족
별관(5층) 4층-10,여의도초등학교,교사동 창면,별관(5층),별관(5층),4,10,도면기준,194415.67,547068.64,11.55,5.33,5.33,충족,4.33,4.33,충족,-1.0,-1.0,유지 충족
