family,stage,floors,top_floors,height_m,new_fail,new_ok,gfa_m2,far_pct,service_m2,real_m2,coverage_m2,bcr_pct,daylight_ratio,dong_gap_m,dong_gap_ratio,n_dong,mean_total_h,min_short_m,label
단일,1b 층수·세장비,50,50,169.0,78,31,37580,400.0,10731,48311,821,8.74,0.069,,,1,3.494,13.71,50층 752㎡(54.8×13.7m)
단일,5 미세조정,49,49,165.7,78,30,37580,400.0,11218,48798,841,8.95,0.062,,,1,3.487,12.64,49층 767㎡(60.7×12.6m)
단일,5 미세조정,49,49,165.7,78,34,37580,400.0,11218,48798,841,8.95,0.055,,,1,3.481,12.64,49층 767㎡(60.7×12.6m)
단일,5 미세조정,47,47,159.1,78,37,37580,400.0,10089,47669,869,9.25,0.021,,,1,3.557,14.9,47층 800㎡(53.7×14.9m)
단일,5 미세조정,45,45,152.5,78,37,37580,400.0,9460,47040,903,9.61,0.028,,,1,3.567,16.52,45층 835㎡(50.6×16.5m)
단일,5 미세조정,55,55,185.5,79,36,37580,400.0,11479,49059,751,7.99,0.043,,,1,3.488,12.68,55층 683㎡(53.9×12.7m)
단일,5 미세조정,55,55,185.5,79,37,37580,400.0,11874,49454,753,8.02,0.022,,,1,3.458,11.99,55층 683㎡(57.0×12.0m)
단일,5 미세조정,54,54,182.2,79,38,37580,400.0,10153,47733,757,8.05,0.04,,,1,3.568,15.9,54층 696㎡(43.8×15.9m)
단일,5 미세조정,53,53,178.9,79,38,37580,400.0,10450,48030,773,8.23,0.042,,,1,3.558,14.79,53층 709㎡(47.9×14.8m)
단일,5 미세조정,53,53,178.9,79,37,37580,400.0,11838,49418,782,8.32,0.039,,,1,3.478,11.91,53층 709㎡(59.5×11.9m)
단일,5 미세조정,52,52,175.6,79,36,37580,400.0,11148,48728,792,8.43,0.038,,,1,3.482,13.04,52층 723㎡(55.4×13.0m)
단일,5 미세조정,51,51,172.3,79,38,37580,400.0,9692,47272,798,8.5,0.037,,,1,3.565,17.0,51층 737㎡(43.3×17.0m)
단일,5 미세조정,51,51,172.3,79,38,37580,400.0,9931,47511,800,8.51,0.039,,,1,3.56,16.08,51층 737㎡(45.8×16.1m)
단일,5 미세조정,51,51,172.3,79,38,37580,400.0,10050,47630,801,8.52,0.04,,,1,3.555,15.67,51층 737㎡(47.0×15.7m)
단일,1b 층수·세장비,50,50,169.0,79,38,37580,400.0,9553,47133,813,8.66,0.03,,,1,3.57,17.34,50층 752㎡(43.3×17.3m)
단일,5 미세조정,50,50,169.0,79,34,37580,400.0,10576,48156,820,8.73,0.037,,,1,3.501,14.06,50층 752㎡(53.4×14.1m)
단일,5 미세조정,50,50,169.0,79,37,37580,400.0,10263,47843,818,8.71,0.058,,,1,3.483,14.87,50층 752㎡(50.6×14.9m)
단일,5 미세조정,50,50,169.0,79,37,37580,400.0,10576,48156,820,8.73,0.035,,,1,3.482,14.06,50층 752㎡(53.4×14.1m)
단일,5 미세조정,50,50,169.0,79,37,37580,400.0,10576,48156,820,8.73,0.054,,,1,3.481,14.06,50층 752㎡(53.4×14.1m)
단일,5 미세조정,49,49,165.7,79,38,37580,400.0,9491,47071,830,8.83,0.037,,,1,3.566,17.34,49층 767㎡(44.2×17.3m)
단일,5 미세조정,48,48,162.4,79,38,37580,400.0,9737,47317,849,9.03,0.035,,,1,3.582,16.15,48층 783㎡(48.5×16.2m)
단일,1b 층수·세장비,47,47,159.1,79,38,37580,400.0,8881,46461,861,9.16,0.029,,,1,3.606,19.99,47층 800㎡(40.0×20.0m)
단일,5 미세조정,47,47,159.1,79,38,37580,400.0,8970,46550,861,9.17,0.037,,,1,3.588,19.4,47층 800㎡(41.2×19.4m)
단일,5 미세조정,47,47,159.1,79,38,37580,400.0,9155,46735,863,9.18,0.039,,,1,3.587,18.35,47층 800㎡(43.6×18.3m)
단일,5 미세조정,43,43,145.9,79,36,37580,400.0,8829,46409,940,10.01,0.042,,,1,3.575,18.7,43층 874㎡(46.7×18.7m)
단일,5 미세조정,43,43,145.9,79,36,37580,400.0,9194,46774,943,10.04,0.046,,,1,3.544,17.07,43층 874㎡(51.2×17.1m)
단일,1b 층수·세장비,55,55,185.5,80,37,37580,400.0,10042,47622,742,7.9,0.041,,,1,3.509,16.53,55층 683㎡(41.3×16.5m)
단일,5 미세조정,54,54,182.2,80,32,37580,400.0,12699,50279,772,8.22,0.051,,,1,3.483,10.77,54층 696㎡(64.6×10.8m)
