순위,코드,계열,형상,기준층㎡,층수,직사각형도,장단비,동서폭m,대지수용,기준A충족%,기준B충족%,현황대비%p,학교최악%p,불충족점수,불충족평균확보h,학교30-1%,학교40-1%,학교40-2%,학교40-3%
81,S028,직사각형,직사각형 2:1 / 회전 30°,683.3,55,1.0,2.0,41.3,가능,83.8,78.5,1.2,-4.4,110,1.53,79.2,84.3,82.1,100.0
82,S042,직사각형,직사각형 2.5:1 / 회전 60°,683.3,55,1.0,2.5,35.0,가능,83.8,78.4,1.2,-3.2,110,1.56,79.7,85.5,79.5,100.0
83,S161,L(ㄱ)형,'ㄱ' 직각 / 회전 0°,683.3,55,0.476,1.0,37.9,가능,83.7,77.4,1.0,-3.3,111,1.52,79.2,85.9,78.8,100.0
84,S175,T형,'T' 자 / 회전 60°,683.3,55,0.539,1.61,38.3,가능,83.7,77.6,1.0,-3.3,111,1.57,79.2,85.5,79.5,100.0
85,S145,V(<)형,'<' 벌림 140° / 회전 180°,683.3,55,0.507,3.02,21.1,가능,83.7,78.8,1.0,-2.8,111,1.58,80.7,85.9,76.8,100.0
86,S133,V(<)형,'<' 벌림 120° / 회전 180°,683.3,55,0.439,2.39,25.5,가능,83.7,78.8,1.0,-2.8,111,1.6,80.7,85.9,76.8,100.0
87,S040,직사각형,직사각형 2.5:1 / 회전 30°,683.3,55,1.0,2.5,44.1,가능,83.4,78.1,0.7,-5.2,113,1.54,78.8,83.5,82.1,100.0
88,S041,직사각형,직사각형 2.5:1 / 회전 45°,683.3,55,1.0,2.5,40.9,가능,83.1,77.2,0.4,-4.4,115,1.62,78.8,84.3,79.5,100.0
89,S058,직사각형,직사각형 3:1 / 회전 120°,683.3,55,1.0,3.0,35.7,가능,83.2,78.8,0.6,-2.8,114,1.56,80.7,85.9,74.8,100.0
90,S067,직사각형,직사각형 4:1 / 회전 75°,683.3,55,1.0,4.0,26.2,가능,82.9,78.5,0.3,-2.8,116,1.67,79.7,85.9,74.8,100.0
91,S112,타원,타원 2.4:1 / 회전 135°,683.3,55,0.784,2.4,35.1,가능,83.1,78.8,0.4,-2.8,115,1.56,80.2,85.9,74.8,100.0
92,S183,T형,'T' 자 / 회전 300°,683.3,55,0.539,1.61,38.3,가능,82.9,77.9,0.3,-2.8,116,1.5,79.7,85.9,74.8,100.0
93,S156,V(<)형,'<' 벌림 160° / 회전 180°,683.3,55,0.654,3.99,16.2,가능,83.4,78.7,0.7,-2.8,113,1.63,80.2,85.9,76.2,100.0
94,S140,V(<)형,'<' 벌림 140° / 회전 30°,683.3,55,0.507,3.02,38.9,가능,83.1,78.5,0.4,-2.8,115,1.49,80.2,85.9,74.8,100.0
95,S025,직사각형,직사각형 1.5:1 / 회전 165°,683.3,55,1.0,1.5,36.4,가능,82.8,76.3,0.1,-3.8,117,1.58,78.8,85.9,75.5,100.0
96,S054,직사각형,직사각형 3:1 / 회전 60°,683.3,55,1.0,3.0,35.7,가능,82.8,76.9,0.1,-3.8,117,1.66,78.8,85.5,76.2,100.0
97,S070,직사각형,직사각형 4:1 / 회전 120°,683.3,55,1.0,4.0,37.5,가능,82.5,78.1,-0.1,-2.8,119,1.6,80.7,85.9,71.5,100.0
98,S105,타원,타원 2.4:1 / 회전 30°,683.3,55,0.784,2.4,40.7,가능,82.6,76.9,0.0,-5.2,118,1.63,78.3,83.5,79.5,100.0
99,S165,L(ㄱ)형,'ㄱ' 직각 / 회전 120°,683.3,55,0.476,1.0,35.6,가능,82.6,77.9,0.0,-2.8,118,1.67,79.7,85.9,73.5,100.0
100,S024,직사각형,직사각형 1.5:1 / 회전 150°,683.3,55,1.0,1.5,38.4,가능,82.1,76.3,-0.6,-3.8,122,1.63,78.8,85.9,72.2,100.0
101,S035,직사각형,직사각형 2:1 / 회전 135°,683.3,55,1.0,2.0,39.2,가능,82.2,76.8,-0.4,-3.3,121,1.63,79.2,85.9,72.2,100.0
102,S053,직사각형,직사각형 3:1 / 회전 45°,683.3,55,1.0,3.0,42.7,가능,81.9,76.2,-0.7,-5.2,123,1.68,78.3,83.5,76.2,100.0
103,S166,L(ㄱ)형,'ㄱ' 직각 / 회전 150°,683.3,55,0.476,1.0,35.6,가능,82.4,77.2,-0.3,-2.8,120,1.58,79.7,85.9,72.2,100.0
104,S115,V(<)형,'<' 벌림 90° / 회전 0°,683.3,55,0.476,1.0,30.7,가능,82.2,76.0,-0.4,-3.3,121,1.57,79.2,85.9,72.2,100.0
105,S116,V(<)형,'<' 벌림 90° / 회전 30°,683.3,55,0.476,1.0,38.0,가능,82.1,76.3,-0.6,-3.8,122,1.64,78.8,85.9,72.2,100.0
106,S172,L(ㄱ)형,'ㄱ' 직각 / 회전 330°,683.3,55,0.476,1.0,35.6,가능,82.1,76.5,-0.6,-3.8,122,1.57,78.8,85.9,72.2,100.0
107,S174,T형,'T' 자 / 회전 30°,683.3,55,0.539,1.61,44.6,가능,82.1,76.2,-0.6,-5.2,122,1.67,78.3,83.5,76.8,100.0
108,S128,V(<)형,'<' 벌림 120° / 회전 30°,683.3,55,0.439,2.39,36.0,가능,82.1,77.4,-0.6,-3.8,122,1.64,78.8,85.9,72.2,100.0
109,S026,직사각형,직사각형 2:1 / 회전 0°,683.3,55,1.0,2.0,37.0,가능,81.6,74.9,-1.0,-3.8,125,1.68,78.8,85.9,70.2,100.0
110,S117,V(<)형,'<' 벌림 90° / 회전 60°,683.3,55,0.476,1.0,46.4,가능,81.8,75.6,-0.9,-4.4,124,1.53,79.7,84.3,72.2,100.0
111,S170,L(ㄱ)형,'ㄱ' 직각 / 회전 270°,683.3,55,0.476,1.0,37.9,가능,81.6,76.8,-1.0,-5.2,125,1.71,78.3,83.5,74.8,100.0
112,S171,L(ㄱ)형,'ㄱ' 직각 / 회전 300°,683.3,55,0.476,1.0,35.6,가능,81.5,75.9,-1.2,-3.3,126,1.63,79.2,85.9,68.9,100.0
113,S146,V(<)형,'<' 벌림 140° / 회전 210°,683.3,55,0.507,3.02,38.9,가능,81.5,76.2,-1.2,-3.3,126,1.56,79.2,85.9,68.9,100.0
